code[tab]nom, synonyme 1, synonyme 2[tab](indication)[tab]autres champs non utilisés

E100-Curcumine, Turmérique	(Turmérique)
E1400-Dextrines, amidon torréfié, Gomme d'amidon, dextrine 	(Dextrines, amidon torréfie, stabilisant, épaississant, liant, émulsifiant)
E1401-Amidon traité aux acides	(Amidon traité aux acides, stabilisant, épaississant, liant, émulsifiant)
E1402-Amidon traité aux alcalis	(Amidon traité aux alcalis, stabilisant, épaississant, liant, émulsifiant)
E1403-Amidon blanchi (Amidon blanchi, stabilisant, épaississant, liant, émulsifiant)
E1404-Amidon oxydé	(Amidon oxydé (Gélifiant, épaississant))
E1405-Amidons traités aux enzymes	(Amidons traités aux enzymes, stabilisant, épaississant, liant, émulsifiant)
E140-Chlorophylles, Chlorophyllines, Phéophytine au magnésium, Chlorophylle, Chlorophylles magnésium, CI 75810, Vert naturel CI n°3, chlorophylle α, chlorophylle β, chlorophylle alpha, chlorophylle beta, E140a, sels basiques des chlorophyllines, Vert naturel CI no5, CI 75815, Vert naturel CI n°5, chlorophylline sodique, chlorophylline potassique, Chlorophyllines, E140b
E140(i)-Chlorophylles, Phéophytine au magnésium, Chlorophylle, Chlorophylles magnésium, CI 75810, Vert naturel CI n°3	(Chlorophylles, Phéophytine au magnésium), chlorophylle α, chlorophylle β, chlorophylle alpha, chlorophylle beta, 140a, E140i, 140 (i)		
E140(ii)-Chlorophyllines, sels basiques des chlorophyllines, Vert naturel CI no5, CI 75815, Vert naturel CI n°5, chlorophylline sodique, chlorophylline potassique, Chlorophyllines, 140b, E140ii, 140 (ii)		
E141-Complexe cuivrique des chlorophylles, Vert naturel C.I. no 3, Chlorophylle cuivrique, Phéophytine cuivrique, C.I. 75810 (i), Vert naturel C.I. no 5, Complexe cuivrique de la chlorophilline sodique, Complexe cuivrique de la chlorophilline potassique, C.I. 75815, Sels de sodium et de potassium de complexes cupriques de chlorophyllines, Complexe cuivrique des chlorophyllines avec sels de sodium et de potassium, Complexes cuivriques de chlorophyllines,  Cuivre phaeophytin a, C55H72CuN4O5, Cuivre phaeophytin b, C55H70CuN4O6, complexes cuivre-chlorophyllines, laque aluminique de chlorophylline (Complexes cuivre-chlorophylles)
E141(ii)-Sels de sodium et de potassium de complexes cupriques de chlorophyllines, Complexe cuivrique des chlorophyllines avec sels de sodium et de potassium, E141(ii), Complexes cuivriques de chlorophyllines,  Cuivre phaeophytin a, C55H72CuN4O5, Cuivre phaeophytin b, C55H70CuN4O6, complexes cuivre-chlorophyllines, laque aluminique de chlorophylline (Sels de sodium et de potassium de complexes cupriques de chlorophyllines)
E1410-Phosphate d'amidon	(Phosphate d'amidon (Gélifiant, épaississant))
E1411-Glycérol de diamidon	(Glycérol de diamidon (Gélifiant, épaississant))
E1412-Phosphate de diamidon	(Phosphate de diamidon (Gélifiant, épaississant))	
E1413-Phosphate de diamidon phosphaté	(Phosphate de diamidon phosphaté (Gélifiant, épaississant))
E1414-Phosphate de diamidon acétylé	(Phosphate de diamidon acétylé (Gélifiant, épaississant))
E142-Vert acide brillant BS, Vert lissamine	(Vert acide brillant BS, Vert lissamine)
E1420-Amidon acétylé	(Amidon acétylé (Gélifiant, épaississant))
E1421-Amidon acétylé à acétate de vinyle	(Amidon acétylé à acétate de vinyle)
E1422-Adipate de diamidon acétylé, amidon modifié E1422	(Adipate de diamidon acétylé (Gélifiant, épaississant))
E1423-Glycérol de diamidon acétylé	(Glycérol de diamidon acétylé (Gélifiant, épaississant))
E143-Vert solide FCF	(Vert solide FCF)
E1430-Diamidon glycériné	(Diamidon glycériné)
E1440-Amidon hydroxypropyle	(Amidon hydroxypropyle (Gélifiant, épaississant))
E1441-Glycérine de diamidon hydroxypropylé, hydroxy-propylique	(Glycérine de diamidon hydroxypropylé ou hydroxy-propylique)
E1442-Phosphate de diamidon hydroxypropyle	(Phosphate de diamidon hydroxypropyle (Gélifiant, épaississant))
E1443-Glycérol de diamidon hydroxypropyle	(Glycérol de diamidon hydroxypropyle (Gélifiant, épaississant))
E1450-Octényle succinate d’amidon sodique	(Octényle succinate d’amidon sodique (Stabilisant, épaississant, liant, émulsifiant))
E1451-Amidon oxydé acétylé	(Amidon oxydé acétylé (Stabilisant, épaississant, liant, émulsifiant))
E1452-Succinate octenylique aluminique d'amidon	(Succinate octenylique aluminique d'amidon, anticaking agent, carrier, stabilisant)
E14XX-Amidons modifiés, amidon modifié, catégorie d'additifs de 1401 à 1452, almidón modificado
E1503-Huile de ricin	(Huile de ricin, solvant de support, anti-agglomérant, agent de glaçage)
E1504-Acétate d'éthyle	(Acétate d'éthyle)
E1505-Citrate de triéthyle	(Citrate de triéthyle (Stabilisant de mousse))
E150b-Caramel de sulfite caustique, Sulfite de soude, Caramel E150b, E150b (caramel), E150b caramel, Caramel II, Caustic sulfite caramel, Caramelo cáustico de sulfito	(Caramel de sulfite caustique, Sulfite de soude)
E150d-Caramel au sulfite d'ammonium, Caramel E150d, E150d (caramel), E150d caramel, Caramel IV - procédé au sulfite ammoniacal, Caramel IV, C.I. Natural Brown 10, FEMA no. 2235, Caramel Colour Ammonium Sulphite Process, Colour Sulphite Ammonia Caramel, Sulfite ammonia caramel, Colour E150d, Food Colour 150d, CAS 8028-89-5, acid-proof caramel, soft-drink caramel, Caramelo sulfito de amoníaco, caramelo a prueba de ácidos, caramelo, de bebidas gaseosas	(Caramel au sulfite d'ammonium)
E150c-Caramel ammoniacal, Caramel E150c, E150c (caramel), E150c caramel, Caramel Color, Color Added, Caramel Color Ammonia, Ammonia caramel, baker's caramel, confectioner's caramel, beer caramel, El caramelo amónico, caramelo de panadería, caramelo de confitería, caramelo de cerveza	(Caramel ammoniacal)
E150a-Caramels, Caramel, Caramel E150a, caramel ordinaire, Plain caramel, caustic caramel, spirit caramel, Caramelo simple, caramelo cáustico, caramelo para licores, caramelo natural, E-150 a, Color Caramelo	(Caramels)
E150-Caramel, AP 680, BC 42, Burnt sugar, Burnt sugar coloring, CI Natural Brown 10, Natural Brown 10, Caramel color dye, Caramel flavor, Caramel liquid, DS 400, P 255, RT 80, Sethness 858, Duranat Caramel WSP, AP 680, BC 420, Caramel pigments, Caramelized sugar, FS pigment, SW 250, Caramelization, Amano SS, BC 420, BCF 3, Caramel Color 201, Caramel FS, Caramel SF, Caramel LF 141, Caramel SF31, FS, FS (pigment), FS 350S, KS-W, Semba S-W, YT 25, Z 80
E151-Noir brillant BN, Noir PN, noir n°1, noir numéro 1, noir numéro un, Noir alimentaire 1, Naphtol black, CI 28440, CI Food Black 1, Food Black 1, CI Food Brown 1, Brillant Black BN, Brillant Black, Black PN, Noir brillant, Noir PN, Xylene Black F	(Noir brillant BN, Noir PN)
E1510-Éthanol	(Éthanol)
E1517-Diacétine, Diacétate de glycéryle, Glyceroldiacétate	(Diacétine, Diacétate de glycéryle, Glyceroldiacétate)
E1518-Triacétine, Triacétate de glycéryle	(Triacétine, (Triacétate de glycéryle) (Humectant))
E1519-Alcool benzylique	(Alcool benzylique)
E1520-Propylène glycol, propane diol - 1	(Propylène glycol (propane diol - 1,2) (Humectant, mouillant, dispersant))
E1521-Polyéthylène glycol, Macrogol, poly ethane diol - 1	(Polyéthylène glycol, Macrogol (poly ethane diol - 1,2) (antimoussant))
E152-Noir de carbone, Hydrocarbure, Noir 7984, Black 7984, Food Black 2, C.I. 27755	(Noir de carbone (Hydrocarbure))
E153-Charbon végétal médicinal, charbon végétal, noir végétal, vegetable carbon, charbon de bois, Norit, Charbon de bois, EPA Pesticide Chemical Code 016001	(Charbon végétal médicinal)
E15x-CI 77266, Black carbon, catégorie d'additifs de 152 à 153
E154-Brun FK	(Brun FK)
E155-Brun chocolat HT	(Brun chocolat HT)
E161b-Lutéine, Lutéines, Lutéines de Tagetes erecta, Extrais de tagetes, xantophylles, Extrait de tagetes, Extraits de tagetes, Lutéol de légumes, Bo-Xan	(Extrais de tagetes)
E160a-Bêta-carotène, Béta-carotène, Bèta-carotène, bétacarotène, β-carotène, Caroténoïdes extrait de légumes, β-carotène extrait de Blakeslea trispora, β-carotène extrait d'algue, γ-Carotène, gamma-carotène	(β-carotène extrait d'algue)
E160b-Rocou, annatto, mélange de bixine et norbixine, Bixine, Norbixine, Annatto extract, Extraits de rocou, Extrait de graine de roucou, base de bixine, base de norbixine, CI 75120, Orange naturel CI n.4, Natural orange 4, CAS 1393-63-1, 89957-43-7, CAS 6983-79-5, Annatto seed extract, Bixa orellana seed extract, bixa orellana, achiote, Annatto G	(Norbixine (Rocou))
E160c-Extrait de paprika, capsanthéine et capsorubine, Oléorésine de paprika, paprika	(Extrait de paprika (capsanthéine et capsorubine))
E160d-Lycopène, Lycopène extrait de Blakeslea trispora	(Lycopène extrait de Blakeslea trispora)
E160f-Ester éthylique de l'acide -apocaroténique-8', Ester éthylique de l'acide apocaroténique-8'	(Ester éthylique de l'acide -apocaroténique-8' (C30))
E160e-Apocaroténal 8', bêta-apocaroténal-8, bêta-apocaroténal-8' (C 30), β-apocaroténal-8’, CI food orange 6, C 30, C30,  bêta-apocaroténal-8', colorant alimentaire orange CI 6	(Apocaroténal 8' (C30))
E160-Caroténoïdes, carotène, carotènes, Caroténoïde, caroténoïdes mélangés, carotènes mélangés	(Caroténoïdes)
E161a-Flavoxanthine	(Flavoxanthine)
E161c-Cryptoxanthine, Kryptoxanthine, β-carotène-3-ol, β-cryptoxanthine, Cryptoxanthol, Hydroxy-β-carotène, beta-carotène-3-ol, beta-cryptoxanthine, Cryptoxanthol, Hydroxy-beta-carotène	(Cryptoxanthine, Kryptoxanthine)
E161d-Rubixanthine, Natural yellow 27, C.I. 75135, CI 75135	(Rubixanthine)
E161e-Violaxanthine, Violoxanthine, Diépoxyde de zéaxanthine	(Violaxanthine)
E161f-Rhodoxanthine	(Rhodoxanthine)
E161g-Canthaxanthine, Colorant alimentaire orange C.I. no.8, C.I. Food Orange 8, C.I. 40850, CI 40850	(Canthaxanthine)
E161h-Zéaxanthine, Zéaxanthine riche en extrait de Tagetes erecta	(Zéaxanthine riche en extrait de Tagetes erecta)
E161i-Citranaxanthine	(Citranaxanthine)
E161j-Astaxanthine	(Astaxanthine)
E161-Xanthophylles	(Xanthophylles)
E162-Rouge de betterave, bétanine, rouge betterave	(Rouge de betterave, bétanine)
E163a-Cyanidine	(Cyanidine)
E163-Anthocyanes	(Anthocyanes)
E163b-Delphinidine	(Delphinidine)
E163c-Malvidine	(Malvidine)
E163d-Pélargonidine	(Pélargonidine)
E163e-Péonidine	(Péonidine)
E163f-Pétunidine	(Pétunidine)
E164-Jaune de gardénia	(Jaune de gardénia)
E165-Bleu de gardénia	(Bleu de gardénia)
E166-Bois de santal, extrait de bois de santal rouge, extrait de bois de santal	(Bois de santal)
E170-Carbonate de calcium, Carbonate acide de calcium	(Carbonate acide de calcium)
E171-Oxyde de titane, dioxyde de titane, bioxyde de titane, CI 77891, CI Pigment White 6, CAS 13463-67-7	(Oxyde de titane, dioxyde de titane, bioxyde de titane)
E172(i)-Oxyde de fer noir	(Oxyde et hydroxyde de fer noir)
E172(ii)-Oxyde de fer rouge, oxyde et hydroxyde de fer rouge	(Oxyde et hydroxyde de fer rouge)
E172(iii)-Oxyde de fer jaune, oxyde et hydroxyde de fer jaune et rouge,, oxyde et hydroxyde de fer jaune	(Oxyde et hydroxyde de fer jaune)
E172-Oxyde de fer, hydroxyde de fer, Oxyde et hydroxyde de fer, Oxydes de fer, Oxydes de fer et hydroxydes de fer, CI77491, CI77492, CI77499	(Oxyde et hydroxyde de fer)
E173-Aluminium	(Aluminium)
E174-Argent	(Argent)
E175-Or	(Or)
E180-Lithol-rubine BK, Litholrubine BK, Pigment Rubine, Carmin 6B, Lithol rubine BK, TANNIC ACID, Fuchsine lithol BK, D&C Red No. 7, D et C Red No. 7, Carmine 6B, Brilliant Carmine 6B, Permanent Rubin L6B, Litholrubine, Latolrubine, C.I. Pigment Red 57, C.I. Pigment Red 57:1, C.I. 15850:1, Rubinpigment BK, Rubinpigment, 4B-Toner, pigmento rubí, carmín 6B, CI 15850, D&C red 7 (USA), Lithol rubin toner BKL	(Lithol-rubine BK), Brillant Carmin 6B, Litholrubintoner BKL, CAS 5284-04-9, Sel de calcium de l'acide 3-hydrox-4-(4-méthyl-2-sulfophhénylazo) naphthalène-2-carboxylique
E181-Tannin, acide tannique	(Tannin, acide tannique)
E182-Orseille	(Orseille)
E200-Acide sorbique	(Acide sorbique (Sa))
E201-Sorbate de sodium	(Sorbate de sodium (Sa))
E202-Sorbate de potassium	(Sorbate de potassium (Sa))
E203-Sorbate de calcium	(Sorbate de calcium (Sa))
E209-Hydroxybenzoate d'hépthyle	(Hydroxybenzoate d'hépthyle, para-, conservateur)
E210-Acide benzoïque	(Acide benzoïque (Ba))
E211-Benzoate de sodium	(Benzoate de sodium (Ba))
E212-Benzoate de potassium	(Benzoate de potassium (Ba))
E213-Benzoate de calcium	(Benzoate de calcium (Ba))
E214-4-hydroxybenzoate d'éthyle, éthylparabène	(4-hydroxybenzoate d'éthyle ou éthylparabène (PHB))
E215-Dérivé sodique du 4-hydroxybenzoate d'éthyle	(Dérivé sodique du 4-hydroxybenzoate d'éthyle (PHB))
E216-4-hydroxybenzoate de propyle, propylparabène, Sel sodique de l'acide p-hydroxypropyl, Sodium Salt of Propyl-p-hydroxy Benzoic Acid, Propylparabène de sodium, ρ-oxybenzoate de propyl sodique, ρ-hydroxybenzoate de propyle sodique, P-hydroxybenzoate de propyle, Parahydroxybenzoate de propyle, Para-hydroxybenzoate de propyle	(4-hydroxybenzoate de propyle ou propylparabène (PHB))
E217-Dérivé sodique du 4-hydroxybenzoate de propyle	(Dérivé sodique du 4-hydroxybenzoate de propyle (PHB))
E218-4-hydroxybenzoate de méthyle, méthylparabène	(4-hydroxybenzoate de méthyle ou méthylparabène(PHB))
E219-Dérivé sodique du 4-hydroxybenzoate de méthyle	(Dérivé sodique du 4-hydroxybenzoate de méthyle (PHB))
E220-Anhydride sulfureux, Dioxyde de soufre	(Anhydride sulfureux, Dioxyde de soufre)
E221-Sulfite de sodium	(Sulfite de sodium)
E222-Bisulfite de sodium, Sulfite acide de sodium	(Bisulfite de sodium (Sulfite acide de sodium))
E223-Disulfite de sodium, métabisulfite de sodium	(Disulfite de sodium, métabisulfite de sodium)
E224-Disulfite de potassium, Métabisulfite de potassium, Pyrosulfite de potassium	(Disulfite de potassium, Pyrosulfite / métabisulfite de potassium)
E225-Disulfite de calcium Pyrosulfite de calcium	(Disulfite de calcium Pyrosulfite de calcium ou métasulfite)
E226-Sulfite de calcium	(Sulfite de calcium)
E227-Sulfite acide de calcium, Bisulfite de calcium	(Sulfite acide de calcium, Bisulfite de calcium)
E228-Sulfite acide de potassium, Bisulfite de potassium	(Sulfite acide de potassium, Bisulfite de potassium)
E230-Biphényle, diphényle	(Biphényle (diphényle))
E231-Orthophénylphénol, 2-hydroxybiphényle	(Orthophénylphénol, 2-hydroxybiphényle)
E232-Orthophénylphénate de sodium, Sodium diphényl 2 yl	(Orthophénylphénate de sodium, Sodium diphényl 2 yl)
E233-Thiabendazole, 4-thiazolyl, benzimidazole	(Thiabendazole ou 2-(4-thiazolyl)benzimidazole)
E234-Nisine	(Nisine)
E235-Natamycine, pimaricine	(Natamycine (pimaricine))
E236-Acide formique, Acide méthanoïque, Acide hydrogène carboxylique, EPA Pesticide Chemical Code 214900, CAS 64-18-6	(Acide formique)
E237-Formiate de sodium, Formate de sodium, Sel de l'acide formique, ester de l'acide formique	(Formiate de sodium)
E238-Formiate de calcium	(Formiate de calcium)
E239-Hexaméthylènetétramine	(Hexaméthylènetétramine)
E240-Formaldéhyde Conservateur	(Formaldéhyde Conservateur)
E241-Gomme gaïac	(Gomme gaïac, conservateur)
E242-Dicarbonate de diméthyle	(Dicarbonate de diméthyle)
E243-Arginate d’éthyle laurique	(Arginate d’éthyle laurique, conservateur)
E249-Nitrite de potassium	(Nitrite de potassium)
E250-Nitrite de sodium, Azotite	(Nitrite de sodium)
E251-Nitrate de sodium	(Nitrate de sodium)
E252-Nitrate de potassium	(Nitrate de potassium)
E260-Acide acétique	(Acide acétique)
E261-Acétates de potassium, Acétate de potassium, Diacétate de potassium	(Diacétate de potassium, conservateur, régulateur de l’acidité)
E262-Acétates de sodium, Acétate de sodium, Diacétate de sodium, Sodium Acetate, Acétate de soude, Sel sodique de l'acide acétique, Ethanoate de sodium, CAS 127-09-3, CAS 126-96-5, CAS 6131-90-4, Hydrogénodiacétate de sodium, Sel de sodium de l'acide éthanoïque, Sel de sodium de l'acide éthanoïque	(Acétates de sodium)
E263-Acétate de calcium	(Acétate de calcium)
E264-Acétate d'ammonium	(Acétate d'ammonium, régulateur de l’acidité)
E265-Acide déhydracétique	(Acide déhydracétique, conservateur)
E266-Déhydroacétate de sodium	(Déhydroacétate de sodium, conservateur)
E270-Acide lactique	(Acide lactique)
E280-Acide propionique	(Acide propionique)
E281-Propionate de sodium	(Propionate de sodium)
E282-Propionate de calcium	(Propionate de calcium)
E283-Propionate de potassium	(Propionate de potassium)
E284-Acide borique	(Acide borique)
E285-Tétraborate de sodium, borax	(Tétraborate de sodium (borax))
E290-Dioxyde de carbone, Anhydride carbonique, gaz carbonique, Acide carbonique, carbonate d'hydrogène	(Dioxyde de carbone, Anhydride carbonique)
E296-Acide malique, Malic Acid	(Acide malique (DL- ou L-))
E297-Acide fumarique	(Acide fumarique)
E301-Ascorbate de sodium, Ascorbate de sodium (Vitamine C), L-ascorbate de sodium, sel monosodique de l’acide L-ascorbique, L-ascorbate de Sodium (vitamine C)	(Ascorbate de sodium, Vitamine C)
E302-Ascorbate de calcium, Ascorbate de calcium (Vitamine C)	(Ascorbate de calcium, Vitamine C)
E300-Acide ascorbique, Acide L-ascorbique, Vitamine C, Acide ascorbique (L-), Acide L(+)-ascorbique	(Acide ascorbique, Acide L-ascorbique, Vitamine C)
E303-Diacétate d'ascorbyle	(Diacétate d'ascorbyle)
E304-Acide palmityle-6-L-ascorbique, Palmitate d'ascorbyle	(Acide palmityle-6-L-ascorbique, Palmitate d'ascorbyle)
E305-Stéarate d'ascorbyle	(Stéarate d'ascorbyle)
E306-Extrait riche en tocophérols, Vitamine E	(Extrait riche en tocophérols, Vitamine E)
E307-Alphatocophérol, Alpha-tocophérol, Alpha-tocophérol de synthèse, Vitamine E	(Alpha-tocophérol de synthèse, Vitamine E)
E307a-Tocophérol	(Tocophérol, d-alpha-)
E307b-Tocophérol concentré	(Tocophérol concentré)
E307c-Tocophérol	(Tocophérol, dl-alpha-)
E308-Gamma-tocophérol de synthèse, Vitamine E	(Gamma-tocophérol de synthèse, Vitamine E)
E309-Delta-tocophérol de synthèse, Vitamine E	(Delta-tocophérol de synthèse, Vitamine E)
E310-Gallate de propyle	(Gallate de propyle)
E311-Gallate d'octyle	(Gallate d'octyle)
E312-Gallate dodécyle, Ester N-dodécylique	(Gallate dodécyle, Ester N-dodécylique)
E313-Gallate d'éthyle	(Gallate d'éthyle)
E314-Guaiac Gum Anti-oxydant naturel	(Guaiac Gum Anti-oxydant naturel)
E315-Acide érythorbique, Acide isoascorbique, Acide D-isoascorbique, acide araboascorbique, acide saccharosonique, eryscorbine, CAS 89-65-6	(Acide érythorbique)
E316-Erythorbate de sodium, Isoascorbate de sodium, érythorbate de sodium	(Erythorbate de sodium)
E317-Isoascorbate de potassium	(Isoascorbate de potassium)
E318-Isoascorbate de calcium	(Isoascorbate de calcium)
E319-Butylhydroquinone tertiaire, BHQT 319, BHQT, tert-Butylhydroquinone, TBHQ, t-BHQ, T-BUTYL HYDROQUINONE, T-BUTYLHYDROQUINONE, tertiary butylhydroquinone, CAS 1948-33-0, Tertiary Butyl Hydroquinone, Butylhydroquinone, Tert-butyl-2 hydroquinone, Tert-butyl hydroquinone, 2-Tert-butyl hydroquinone, Hydroquinone de butyle tertiaire	(Butylhydroquinone tertiaire, synthétique)
E320-Buthylhydroxyanisol, BHA	(Buthylhydroxyanisol (BHA))
E321-Buthylhydroxytoluène, BHT	(Buthylhydroxytoluène (BHT))
E322-Lécithines, Lécithine, Lécithine partiellement hydrolysée, Phosphatidylcholine, Phosphatides, Phospholipides, Phospho lutéines, CAS 8002-43-5, Lecithin	(antioxydant, émulsifiant)
E322(i)-Lécithine	(Lécithine)
E322(ii)-Lécithine partiellement hydrolysée	(Lécithine partiellement hydrolysée)
E323-Anoxomère	(Anoxomère, antioxydant)
E324-Ethoxyquine, pesticide [6]	(Ethoxyquine, antioxydant, pesticide [6])
E325-Lactate de sodium	(Lactate de sodium)
E326-Lactate de potassium	(Lactate de potassium)
E327-Lactate de calcium	(Lactate de calcium)
E328-Lactate d'ammonium	(Lactate d'ammonium, régulateur de l’acidité, agent de traitement des farines)
E329-Lactate de magnésium	(Lactate de magnésium (DL-), régulateur de l’acidité, agent de traitement des farines)
E330-Acide citrique, C6H8O7, CAS 77-92-9, C6H8O7.H2O, Citric acid	(Acide citrique)
E331-Citrates de sodium, Citrate de sodium, Citrate biacide de sodium, Citrate monoacide disodique, Citrate trisodique	(Citrate trisodique, régulateur d’acidité, séquestrant, émulsifiant, stabilisant)
E332-Citrates de potassium, Citrate de potassium, Citrate biacide de potassium, Citrate tripotassique	(Citrate tripotassique, régulateur de l’acidité, séquestrant, stabilisant)
E333-Citrates de calcium, Citrate de calcium, Citrate de monocalcium, Citrate de dicalcium, Citrate de tricalcium	(Citrate de tricalcium, régulateur de l’acidité, affermissant, séquestrant, stabilisant)
